CARDEAL DA SILVA-BA,,,,,BA,,,,,"111.878,03",,,,,,,,,,"31.856,75",,,,,,,,"143.734,78",,,,,,,,,"721.797,68",,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.310,44",,,,,,,,
CATU-BA,,,,,BA,,,,,"177.224,83",,,,,,,,,,"93.504,41",,,,,,,,"270.729,24",,,,,,,,,"1.449.413,14",,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,,"570,50",,,,,,,,,,-,,,,,,,,"570,50",,,,,,,,,"1.358,99",,,,,,,,
CIPO-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
COARACI-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.161,04",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,,"489,00",,,,,,,,,,-,,,,,,,,"489,00",,,,,,,,,"1.164,83",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,,"672,37",,,,,,,,,,-,,,,,,,,"672,37",,,,,,,,,"1.601,67",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.310,44",,,,,,,,
CONDE-BA,,,,,BA,,,,,"575,89",,,,,,,,,,"29,76",,,,,,,,"605,65",,,,,,,,,"5.050,50",,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,,"529,75",,,,,,,,,,-,,,,,,,,"529,75",,,,,,,,,"1.261,92",,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,,"652,00",,,,,,,,,,-,,,,,,,,"652,00",,,,,,,,,"1.553,13",,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,,"631,62",,,,,,,,,,-,,,,,,,,"631,62",,,,,,,,,"1.504,59",,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,,"590,87",,,,,,,,,,-,,,,,,,,"590,87",,,,,,,,,"1.407,54",,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,,"205.763,40",,,,,,,,,,"139.785,66",,,,,,,,"345.549,06",,,,,,,,,"1.646.801,30",,,,,,,,
ESPLANADA-BA,,,,,BA,,,,,"492.641,49",,,,,,,,,,"319.907,63",,,,,,,,"812.549,12",,,,,,,,,"5.075.072,86",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,,"652,00",,,,,,,,,,-,,,,,,,,"652,00",,,,,,,,,"1.553,13",,,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,,"733,50",,,,,,,,,,-,,,,,,,,"733,50",,,,,,,,,"1.548,06",,,,,,,,
FATIMA-BA,,,,,BA,,,,,"509,37",,,,,,,,,,-,,,,,,,,"509,37",,,,,,,,,"1.213,38",,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,,"815,00",,,,,,,,,,-,,,,,,,,"815,00",,,,,,,,,"1.941,42",,,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"860,03",,,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"903,03",,,,,,,,
GANDU-BA,,,,,BA,,,,,"550,12",,,,,,,,,,-,,,,,,,,"550,12",,,,,,,,,"1.161,04",,,,,,,,
GAVIAO-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
GLORIA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
GONGOGI-BA,,,,,BA,,,,,"427,87",,,,,,,,,,-,,,,,,,,"427,87",,,,,,,,,"903,03",,,,,,,,
