CONCEICAO DO COITE-BA,,,BA,,,,,"98,25",,,,,,,,-,,,,,,,"98,25",,,,,,,,"425,29",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
CONDE-BA,,,BA,,,,,"138,52",,,,,,,,"39,42",,,,,,,"177,94",,,,,,,,"685,09",,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
CRAVOLANDIA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
CRISOPOLIS-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,,,"95,27",,,,,,,,-,,,,,,,"95,27",,,,,,,,"412,40",,,,,,,,
DARIO MEIRA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
DIAS D'AVILA-BA,,,BA,,,,,"92,29",,,,,,,,-,,,,,,,"92,29",,,,,,,,"424,85",,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ENCRUZILHADA-BA,,,BA,,,,,"86,34",,,,,,,,-,,,,,,,"86,34",,,,,,,,"373,74",,,,,,,,
ENTRE RIOS-BA,,,BA,,,,,"208.123,89",,,,,,,,"129.558,82",,,,,,,"337.682,71",,,,,,,,"1.388.768,04",,,,,,,,
ESPLANADA-BA,,,BA,,,,,"368.642,01",,,,,,,,"224.552,38",,,,,,,"593.194,39",,,,,,,,"2.513.604,97",,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,,,"95,27",,,,,,,,-,,,,,,,"95,27",,,,,,,,"412,40",,,,,,,,
FATIMA-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,,,"119,09",,,,,,,,-,,,,,,,"119,09",,,,,,,,"515,50",,,,,,,,
GAVIAO-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
GLORIA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
HELIOPOLIS-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
IACU-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
IBIQUERA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ICHU-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
INHAMBUPE-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
IPECAETA-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
IPIRA-BA,,,BA,,,,,"98,25",,,,,,,,-,,,,,,,"98,25",,,,,,,,"425,29",,,,,,,,
IRAJUBA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
IRARA-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
ITABERABA-BA,,,BA,,,,,"98,25",,,,,,,,-,,,,,,,"98,25",,,,,,,,"425,29",,,,,,,,
ITAGI-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
ITAMBE-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
ITANAGRA-BA,,,BA,,,,,"74.723,63",,,,,,,,"9.066,26",,,,,,,"83.789,89",,,,,,,,"359.824,14",,,,,,,,
ITAPARICA-BA,,,BA,,,,,"2.059,78",,,,,,,,"127.909,48",,,,,,,"129.969,26",,,,,,,,"494.582,08",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAPETINGA-BA,,,BA,,,,,"98,25",,,,,,,,-,,,,,,,"98,25",,,,,,,,"425,29",,,,,,,,
ITAPICURU-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
ITAQUARA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ITARANTIM-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
ITATIM-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
ITIRUCU-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
ITIUBA-BA,,,BA,,,,,"86,34",,,,,,,,-,,,,,,,"86,34",,,,,,,,"373,74",,,,,,,,
JACOBINA-BA,,,BA,,,,,"104,20",,,,,,,,-,,,,,,,"104,20",,,,,,,,"451,07",,,,,,,,
JAGUAQUARA-BA,,,BA,,,,,"92,29",,,,,,,,-,,,,,,,"92,29",,,,,,,,"399,50",,,,,,,,
JAGUARIPE-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
JANDAIRA-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
JEQUIE-BA,,,BA,,,,,"119,09",,,,,,,,-,,,,,,,"119,09",,,,,,,,"515,50",,,,,,,,
JEREMOABO-BA,,,BA,,,,,"86,34",,,,,,,,-,,,,,,,"86,34",,,,,,,,"373,74",,,,,,,,
JIQUIRICA-BA,,,BA,,,,,"65,50",,,,,,,,-,,,,,,,"65,50",,,,,,,,"283,53",,,,,,,,
JITAUNA-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
LAJE-BA,,,BA,,,,,"74,43",,,,,,,,-,,,,,,,"74,43",,,,,,,,"322,18",,,,,,,,
LAJEDINHO-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
LAMARAO-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,,,"113,13",,,,,,,,-,,,,,,,"113,13",,,,,,,,"489,73",,,,,,,,
MACAJUBA-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
MACARANI-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
MADRE DE DEUS-BA,,,BA,,,,,"937.497,56",,,,,,,,"587.420,88",,,,,,,"1.524.918,44",,,,,,,,"6.129.083,18",,,,,,,,
MAIQUINIQUE-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
MAIRI-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
MANOEL VITORINO-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
MARACAS-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
MARAGOGIPE-BA,,,BA,,,,,"92,29",,,,,,,,-,,,,,,,"92,29",,,,,,,,"399,50",,,,,,,,
