MATA DE SÃO JOAO-BA,,,,BA,,,"139.162,83",,,,,,"56.627,04",,,,,,"195.789,87",,,,,,"1.511.345,69",,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
MILAGRES-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
MIRANTE-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,"83,62",,,,,,-,,,,,,"83,62",,,,,,"765,49",,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
MURITIBA-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
MUTUIPE-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
NAZARE-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
NORDESTINA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
OLINDINA-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
OURICANGAS-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,"96,69",,,,,,-,,,,,,"96,69",,,,,,"885,63",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE DE SERRA-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,79",,,,,,,,,,
PEDRAO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,83",,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,61",,,,,,,,,,
PINTADAS-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,35",,,,,,,,,,
PIRITIBA-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,93",,,,,,,,,,
PLANALTINO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,83",,,,,,,,,,
PLANALTO-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,33",,,,,,,,,,
POCOES-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,30",,,,,,,,,,
POJUCA-BA,,,,BA,,,"407.844,28",,,,,,"384.256,50",,,,,,"792.100,78",,,,,,"5.770.125,28",,,,,,,,,,
QUEIMADAS-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,71",,,,,,,,,,
QUIJINGUE-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,71",,,,,,,,,,
QUIXABEIRA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,83",,,,,,,,,,
RAFAEL JAMBEIRO-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,33",,,,,,,,,,
RETIROLANDIA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,35",,,,,,,,,,
RIACHAO DO JACUIPE-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"670,16",,,,,,,,,,
RIBEIRA DO AMPARO-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,79",,,,,,,,,,
RIBEIRA DO POMBAL-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,30",,,,,,,,,,
RIBEIRAO DO LARGO-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
RIO REAL-BA,,,,BA,,,"75,78",,,,,,-,,,,,,"75,78",,,,,,"693,46",,,,,,,,,,
RUY BARBOSA-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"670,16",,,,,,,,,,
SALINAS DA MARGARIDA -BA,,,,BA,,,"1.519,87",,,,,,"71.526,81",,,,,,"73.046,68",,,,,,"394.930,63",,,,,,,,,,
SALVADOR-BA,,,,BA,,,"2.894,99",,,,,,"71.526,81",,,,,,"74.421,81",,,,,,"552.671,99",,,,,,,,,,
SANTA BARBARA-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,61",,,,,,,,,,
