CATU-BA,,,BA,,,"220.033,56",,,,,,,,"114.672,54",,,,,,"334.706,10",,,,,,,,"1.402.945,22",,,,,,,,
CICERO DANTAS-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
"CIPO-BA
CONCEICAO DA FEIRA-BA",,,"BA
BA",,,"59,62
62,21",,,,,,,,"-
-",,,,,,"59,62
62,21",,,,,,,,"300,83
313,91",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,"85,54",,,,,,,,-,,,,,,"85,54",,,,,,,,"431,64",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
CONDE-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"408,55",,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,"67,39",,,,,,,,-,,,,,,"67,39",,,,,,,,"340,06",,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
CRAVOLANDIA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
CRISOPOLIS-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
"CRUZ DAS ALMAS-BA
DARIO MEIRA-BA",,,"BA
BA",,,"82,95
59,62",,,,,,,,"-
-",,,,,,"82,95
59,62",,,,,,,,"418,55
300,83",,,,,,,,
DIAS D'AVILA-BA,,,BA,,,"80,35",,,,,,,,-,,,,,,"80,35",,,,,,,,"405,47",,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
ENCRUZILHADA-BA,,,BA,,,"75,17",,,,,,,,-,,,,,,"75,17",,,,,,,,"379,31",,,,,,,,
ENTRE RIOS-BA,,,BA,,,"233.853,73",,,,,,,,"146.412,08",,,,,,"380.265,81",,,,,,,,"1.628.154,74",,,,,,,,
ESPLANADA-BA,,,BA,,,"405.851,57",,,,,,,,"250.167,81",,,,,,"656.019,38",,,,,,,,"2.920.454,65",,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,"82,95",,,,,,,,-,,,,,,"82,95",,,,,,,,"418,55",,,,,,,,
FATIMA-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
"FEIRA DE SANTANA-BA
GAVIAO-BA",,,"BA
BA",,,"103,68
51,84",,,,,,,,"-
-",,,,,,"103,68
51,84",,,,,,,,"523,19
261,59",,,,,,,,
GLORIA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,"62,21",,,,,,,,-,,,,,,"62,21",,,,,,,,"313,91",,,,,,,,
HELIOPOLIS-BA,,,BA,,,"57,02",,,,,,,,-,,,,,,"57,02",,,,,,,,"287,75",,,,,,,,
IACU-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
IBIQUERA-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
ICHU-BA,,,BA,,,"51,84",,,,,,,,-,,,,,,"51,84",,,,,,,,"261,59",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INHAMBUPE-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
IPECAETA-BA,,,BA,,,"64,80",,,,,,,,-,,,,,,"64,80",,,,,,,,"327,00",,,,,,,,
IPIRA-BA,,,BA,,,"85,54",,,,,,,,-,,,,,,"85,54",,,,,,,,"431,64",,,,,,,,
"IRAJUBA-BA
IRARA-BA",,,"BA
BA",,,"51,84
69,99",,,,,,,,"-
-",,,,,,"51,84
69,99",,,,,,,,"261,59
353,16",,,,,,,,
ITABERABA-BA,,,BA,,,"85,54",,,,,,,,-,,,,,,"85,54",,,,,,,,"431,64",,,,,,,,
ITAGI-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
ITAMBE-BA,,,BA,,,"72,58",,,,,,,,-,,,,,,"72,58",,,,,,,,"366,24",,,,,,,,
ITANAGRA-BA,,,BA,,,"81.539,00",,,,,,,,"10.529,15",,,,,,"92.068,15",,,,,,,,"403.626,59",,,,,,,,
ITAPARICA-BA,,,BA,,,"2.220,85",,,,,,,,"153.027,98",,,,,,"155.248,83",,,,,,,,"583.183,07",,,,,,,,
ITAPETINGA-BA,,,BA,,,"85,54",,,,,,,,-,,,,,,"85,54",,,,,,,,"431,64",,,,,,,,
ITAPICURU-BA,,,BA,,,"69,99",,,,,,,,-,,,,,,"69,99",,,,,,,,"353,16",,,,,,,,
