CRUZ DAS ALMAS-BA,,,,BA,,,"92,37",,,,,,,,-,,,,,,"92,37",,,,,,,"335,60",,,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,"89,49",,,,,,,,-,,,,,,"89,49",,,,,,,"325,12",,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,"83,71",,,,,,,,-,,,,,,"83,71",,,,,,,"304,14",,,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,"274.871,84",,,,,,,,"170.042,11",,,,,,"444.913,95",,,,,,,"1.247.888,93",,,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,"505.691,64",,,,,,,,"312.667,56",,,,,,"818.359,20",,,,,,,"2.264.435,27",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,"92,37",,,,,,,,-,,,,,,"92,37",,,,,,,"335,60",,,,,,,,,,,,
FATIMA-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,"115,47",,,,,,,,-,,,,,,"115,47",,,,,,,"419,51",,,,,,,,,,,,
GAVIAO-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
GLORIA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
IACU-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
IBIQUERA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ICHU-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
IPECAETA-BA,,,,BA,,,"72,17",,,,,,,,-,,,,,,"72,17",,,,,,,"262,20",,,,,,,,,,,,
IPIRA-BA,,,,BA,,,"95,26",,,,,,,,-,,,,,,"95,26",,,,,,,"346,10",,,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
IRARA-BA,,,,BA,,,"77,94",,,,,,,,-,,,,,,"77,94",,,,,,,"283,17",,,,,,,,,,,,
ITABERABA-BA,,,,BA,,,"95,26",,,,,,,,-,,,,,,"95,26",,,,,,,"346,10",,,,,,,,,,,,
ITAGI-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
ITAMBE-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,"98.078,18",,,,,,,,"12.002,62",,,,,,"110.080,80",,,,,,,"311.558,44",,,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,"3.126,40",,,,,,,,"192.466,57",,,,,,"195.592,97",,,,,,,"427.934,24",,,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,"95,26",,,,,,,,-,,,,,,"95,26",,,,,,,"346,10",,,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,"77,94",,,,,,,,-,,,,,,"77,94",,,,,,,"283,17",,,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
ITATIM-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
ITIUBA-BA,,,,BA,,,"83,71",,,,,,,,-,,,,,,"83,71",,,,,,,"304,14",,,,,,,,,,,,
JACOBINA-BA,,,,BA,,,"101,03",,,,,,,,-,,,,,,"101,03",,,,,,,"367,07",,,,,,,,,,,,
