HELIOPOLIS-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
IACU-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
IBIQUERA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ICHU-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
INHAMBUPE-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
IPECAETA-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
IPIRA-BA,,,BA,,,,"127,50",,,,,,,,-,,,,,,"127,50",,,,,"250,84",,,,,,,
IRAJUBA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
IRARA-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
ITABERABA-BA,,,BA,,,,"127,50",,,,,,,,-,,,,,,"127,50",,,,,"250,84",,,,,,,
ITAGI-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
ITAMBE-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
ITANAGRA-BA,,,BA,,,,"87.785,91",,,,,,,,"12.060,54",,,,,,"99.846,45",,,,,"201.477,64",,,,,,,
ITAPARICA-BA,,,BA,,,,"2.903,13",,,,,,,,"124.442,75",,,,,,"127.345,88",,,,,"232.341,27",,,,,,,
ITAPETINGA-BA,,,BA,,,,"127,50",,,,,,,,-,,,,,,"127,50",,,,,"250,84",,,,,,,
ITAPICURU-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
ITAQUARA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ITARANTIM-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
ITATIM-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
ITIRUCU-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
ITIUBA-BA,,,BA,,,,"112,04",,,,,,,,-,,,,,,"112,04",,,,,"220,43",,,,,,,
JACOBINA-BA,,,BA,,,,"135,23",,,,,,,,-,,,,,,"135,23",,,,,"266,04",,,,,,,
JAGUAQUARA-BA,,,BA,,,,"119,77",,,,,,,,-,,,,,,"119,77",,,,,"235,63",,,,,,,
JAGUARIPE-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
JANDAIRA-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
JEQUIE-BA,,,BA,,,,"154,54",,,,,,,,-,,,,,,"154,54",,,,,"304,04",,,,,,,
JEREMOABO-BA,,,BA,,,,"112,04",,,,,,,,-,,,,,,"112,04",,,,,"220,43",,,,,,,
JIQUIRICA-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
JITAUNA-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
LAJE-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
LAJEDINHO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
LAMARAO-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
LAURO DE FREITAS-BA,,,BA,,,,"146,82",,,,,,,,-,,,,,,"146,82",,,,,"288,85",,,,,,,
MACAJUBA-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
MACARANI -BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADRE DE DEUS-BA,,,BA,,,,"782.924,06",,,,,,,,"567.768,35",,,,,,"1.350.692,41",,,,,"3.015.456,21",,,,,,,
MAIQUINIQUE-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
MAIRI-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
MANOEL VITORINO-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
MARACAS-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
MARAGOGIPE-BA,,,BA,,,,"119,77",,,,,,,,-,,,,,,"119,77",,,,,"235,63",,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,,"162.418,11",,,,,,,,"68.945,93",,,,,,"231.364,04",,,,,"448.158,36",,,,,,,
MIGUEL CALMON-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
MILAGRES-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
MIRANTE-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
MONTE SANTO -BA,,,BA,,,,"123,63",,,,,,,,-,,,,,,"123,63",,,,,"243,23",,,,,,,
MUNDO NOVO-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
