CICERO DANTAS-BA,,,,,,,,BA,,"1.518,39",,,,,,-,,,,,,"1.518,39",,,,,,,"10.730,55",,,,,,,,,
CIPO-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.814,36",,,,,,,,,
COARACI-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.923,14",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.621,84",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.156,63",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,BA,,"1.789,54",,,,,,-,,,,,,"1.789,54",,,,,,,"12.646,75",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.347,35",,,,,,,,,
CONDE-BA,,,,,,,,BA,,"3.740,54",,,,,,"1.503,23",,,,,,"5.243,77",,,,,,,"45.870,74",,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.964,07",,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.580,84",,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
CRISOPOLIS-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.580,84",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,BA,,"1.735,31",,,,,,-,,,,,,"1.735,31",,,,,,,"12.263,46",,,,,,,,,
DARIO MEIRA-BA,,,,,,,,BA,,"1.193,02",,,,,,-,,,,,,"1.193,02",,,,,,,"8.390,14",,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,BA,,"1.735,31",,,,,,-,,,,,,"1.735,31",,,,,,,"12.304,46",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.841,14",,,,,,,,,
ENTRE RIOS-BA,,,,,,,,BA,,"286.798,73",,,,,,"211.169,36",,,,,,"497.968,09",,,,,,,"3.794.494,14",,,,,,,,,
ESPLANADA-BA,,,,,,,,BA,,"1.654.323,91",,,,,,"654.762,39",,,,,,"2.309.086,30",,,,,,,"14.870.790,42",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,BA,,"1.789,54",,,,,,-,,,,,,"1.789,54",,,,,,,"12.687,69",,,,,,,,,
EUNAPOLIS-BA,,,,,,,,BA,,"1.952,22",,,,,,-,,,,,,"1.952,22",,,,,,,"13.796,37",,,,,,,,,
FATIMA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.580,84",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,BA,,"2.169,14",,,,,,-,,,,,,"2.169,14",,,,,,,"15.329,38",,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,BA,,"1.138,79",,,,,,-,,,,,,"1.138,79",,,,,,,"8.047,95",,,,,,,,,
