Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBIQUERA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
IBIRAPITANGA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
IBIRAPUA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
IBIRATAIA-BA,,,,,,,,,BA,,,"912,54",,,,,-,,,,,,,"912,54",,,,,,"7.692,86",,,,,,,,,,
ICHU-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
IGRAPIUNA-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.609,25",,,,,,,,,,
IGUAI-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
ILHEUS-BA,,,,,,,,,BA,,,"1.460,06",,,,,-,,,,,,,"1.460,06",,,,,,"12.016,86",,,,,,,,,,
INHAMBUPE-BA,,,,,,,,,BA,,,"2.099,28",,,,,"512,15",,,,,,,"2.611,43",,,,,,"19.525,23",,,,,,,,,,
IPECAETA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"7.092,01",,,,,,,,,,
IPIAU-BA,,,,,,,,,BA,,,"1.131,55",,,,,-,,,,,,,"1.131,55",,,,,,"9.313,07",,,,,,,,,,
IPIRA-BA,,,,,,,,,BA,,,"1.204,55",,,,,-,,,,,,,"1.204,55",,,,,,"9.913,90",,,,,,,,,,
IRAJUBA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
IRARA-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
ITABELA-BA,,,,,,,,,BA,,,"1.022,04",,,,,-,,,,,,,"1.022,04",,,,,,"8.229,46",,,,,,,,,,
ITABERABA-BA,,,,,,,,,BA,,,"1.204,55",,,,,-,,,,,,,"1.204,55",,,,,,"9.913,90",,,,,,,,,,
ITABUNA-BA,,,,,,,,,BA,,,"1.460,06",,,,,-,,,,,,,"1.460,06",,,,,,"12.016,86",,,,,,,,,,
ITACARE-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
ITAGI-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.609,25",,,,,,,,,,
ITAGIBA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"7.092,01",,,,,,,,,,
ITAGIMIRIM-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
