IRAJUBA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
IRARA-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
ITABERABA-BA,,,BA,,,,"123,34",,,,,,-,,,,,"123,34",,,,,"123,34",,,,,,,,,
ITAGI-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
ITAMBE-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
ITANAGRA-BA,,,BA,,,,"89.639,43",,,,,,"11.991,76",,,,,"101.631,19",,,,,"101.631,19",,,,,,,,,
ITAPARICA-BA,,,BA,,,,"2.585,81",,,,,,"102.409,58",,,,,"104.995,39",,,,,"104.995,39",,,,,,,,,
ITAPETINGA-BA,,,BA,,,,"123,34",,,,,,-,,,,,"123,34",,,,,"123,34",,,,,,,,,
ITAPICURU-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
ITAQUARA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ITARANTIM-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
ITATIM-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
ITIRUCU-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
ITIUBA-BA,,,BA,,,,"108,39",,,,,,-,,,,,"108,39",,,,,"108,39",,,,,,,,,
JACOBINA-BA,,,BA,,,,"130,81",,,,,,-,,,,,"130,81",,,,,"130,81",,,,,,,,,
JAGUAQUARA-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
JAGUARIPE-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
