NOVO TRIUNFO-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
OLINDINA-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
OURICANGAS-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
OUROLANDIA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
PARIPIRANGA-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
PAULO AFONSO-BA,,,,,BA,,,,,"41,83",,,,,,,,-,,,,,,"41,83",,,,,,,,"320,52"
PE DE SERRA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
PEDRAO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
PEDRO ALEXANDRE-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
PINTADAS-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
PIRITIBA-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
PLANALTINO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
PLANALTO-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
POCOES-BA,,,,,BA,,,,,"34,86",,,,,,,,-,,,,,,"34,86",,,,,,,,"266,94"
POJUCA-BA,,,,,BA,,,,,"180.229,35",,,,,,,,"150.389,89",,,,,,"330.619,24",,,,,,,,"2.914.881,22"
QUEIMADAS-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUIJINGUE-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
QUIXABEIRA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
RAFAEL JAMBEIRO-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
RETIROLANDIA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
RIACHAO DO JACUIPE-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
RIBEIRA DO AMPARO-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
RIBEIRA DO POMBAL-BA,,,,,BA,,,,,"36,02",,,,,,,,-,,,,,,"36,02",,,,,,,,"276,06"
RIBEIRAO DO LARGO-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
RIO REAL-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
RUY BARBOSA-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
SALINAS DA MARGARIDA-BA,,,,,BA,,,,,"566,17",,,,,,,,"1.089,95",,,,,,"1.656,12",,,,,,,,"13.923,18"
SALVADOR-BA,,,,,BA,,,,,"1.132,35",,,,,,,,"42.735,46",,,,,,"43.867,81",,,,,,,,"312.208,31"
SANTA BARBARA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
SANTA BRIGIDA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
SANTA INES-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
SANTA TERESINHA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
SANTALUZ-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
SANTANOPOLIS-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
SANTO AMARO-BA,,,,,BA,,,,,"934,19",,,,,,,,"1.089,95",,,,,,"2.024,14",,,,,,,,"16.741,47"
SANTO ANTONIO DE JESUS-BA,,,,,BA,,,,,"39,50",,,,,,,,-,,,,,,"39,50",,,,,,,,"302,69"
SANTO ESTEVAO-BA,,,,,BA,,,,,"34,86",,,,,,,,-,,,,,,"34,86",,,,,,,,"266,94"
SAO DOMINGOS-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
SAO FELIPE-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
SAO FELIX-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
