BELO CAMPO-BA,,,,,BA,,,,"96,67",,,,,,-,,,,,,,"96,67",,,,,,,,"502,73",,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"2.164,37",,,,,,"1.056,58",,,,,,,"3.220,95",,,,,,,,"3.610,09",,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"100,69",,,,,,-,,,,,,,"100,69",,,,,,,,"523,67",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
CAATIBA-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
CAEM-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
CAETANOS-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
CAMACARI-BA,,,,,BA,,,,"554,85",,,,,,"224,43",,,,,,,"779,28",,,,,,,,"3.396,47",,,,,,,,
CANDEAL-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"197.541,70",,,,,,"240.894,28",,,,,,,"438.435,98",,,,,,,,"2.675.583,12",,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
CANUDOS-BA,,,,,BA,,,,"88,61",,,,,,-,,,,,,,"88,61",,,,,,,,"460,84",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"84,58",,,,,,-,,,,,,,"84,58",,,,,,,,"439,89",,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"104,72",,,,,,-,,,,,,,"104,72",,,,,,,,"544,62",,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"127.250,64",,,,,,"38.089,56",,,,,,,"165.340,20",,,,,,,,"980.355,40",,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"108,75",,,,,,-,,,,,,,"108,75",,,,,,,,"565,56",,,,,,,,
CATU-BA,,,,,BA,,,,"197.930,38",,,,,,"101.401,88",,,,,,,"299.332,26",,,,,,,,"1.819.911,66",,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"112,78",,,,,,-,,,,,,,"112,78",,,,,,,,"586,53",,,,,,,,
CIPO-BA,,,,,BA,,,,"92,64",,,,,,-,,,,,,,"92,64",,,,,,,,"481,78",,,,,,,,
