ENTRE RIOS-BA,,,BA,,,,"76.451,95",,,,,,,,"37.482,64",,,,,,"113.934,59",,,,,"229.651,28",,,,,,,,
ESPLANADA-BA,,,BA,,,,"138.255,67",,,,,,,,"77.350,83",,,,,,"215.606,50",,,,,"442.071,09",,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,,"79,23",,,,,,,,-,,,,,,"79,23",,,,,"146,68",,,,,,,,
FATIMA-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,,"99,04",,,,,,,,-,,,,,,"99,04",,,,,"183,36",,,,,,,,
GAVIAO-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
GLORIA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
HELIOPOLIS-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
IACU-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
IBIQUERA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ICHU-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
INHAMBUPE-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
IPECAETA-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
IPIRA-BA,,,BA,,,,"81,70",,,,,,,,-,,,,,,"81,70",,,,,"151,26",,,,,,,,
IRAJUBA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
IRARA-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
ITABERABA-BA,,,BA,,,,"81,70",,,,,,,,-,,,,,,"81,70",,,,,"151,26",,,,,,,,
ITAGI-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
ITAMBE-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
ITANAGRA-BA,,,BA,,,,"27.551,78",,,,,,,,"5.898,95",,,,,,"33.450,73",,,,,"67.255,71",,,,,,,,
ITAPARICA-BA,,,BA,,,,"1.714,37",,,,,,,,"2.116,49",,,,,,"3.830,86",,,,,"7.108,81",,,,,,,,
ITAPETINGA-BA,,,BA,,,,"81,70",,,,,,,,-,,,,,,"81,70",,,,,"151,26",,,,,,,,
ITAPICURU-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
ITAQUARA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ITARANTIM-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITATIM-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
ITIRUCU-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
ITIUBA-BA,,,BA,,,,"71,80",,,,,,,,-,,,,,,"71,80",,,,,"132,93",,,,,,,,
