CASTRO ALVES-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
CATU-BA,,,,,,,,,,BA,,"318.142,31",,,,,,,"161.554,72",,,,,,,,"479.697,03",,,,,,,"5.880.861,62",,,,,,,,
CICERO DANTAS-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
CIPO-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
COARACI-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,,BA,,"2.019,68",,,,,,,"0,02",,,,,,,,"2.019,70",,,,,,,"23.209,08",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,,BA,,"1.713,67",,,,,,,"0,01",,,,,,,,"1.713,68",,,,,,,"19.692,56",,,,,,,,
CONDE-BA,,,,,,,,,,BA,,"3.159,41",,,,,,,"1.011,47",,,,,,,,"4.170,88",,,,,,,"45.799,20",,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
CRAVOLANDIA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
CRISOPOLIS-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,,BA,,"2.019,68",,,,,,,"0,02",,,,,,,,"2.019,70",,,,,,,"23.209,08",,,,,,,,
DARIO MEIRA-BA,,,,,,,,,,BA,,"1.346,45",,,,,,,"0,01",,,,,,,,"1.346,46",,,,,,,"15.472,71",,,,,,,,
DIAS D'AVILA-BA,,,,,,,,,,BA,,"2.080,88",,,,,,,"0,02",,,,,,,,"2.080,90",,,,,,,"23.912,40",,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
ENCRUZILHADA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
ENTRE RIOS-BA,,,,,,,,,,BA,,"368.347,29",,,,,,,"254.629,72",,,,,,,,"622.977,01",,,,,,,"7.839.007,90",,,,,,,,
ESPLANADA-BA,,,,,,,,,,BA,,"691.440,79",,,,,,,"537.441,59",,,,,,,,"1.228.882,38",,,,,,,"15.198.012,57",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,,BA,,"2.019,68",,,,,,,"0,02",,,,,,,,"2.019,70",,,,,,,"23.209,08",,,,,,,,
EUNAPOLIS-BA,,,,,,,,,,BA,,"360.727,49",,,,,,,"12.151,40",,,,,,,,"372.878,89",,,,,,,"3.504.666,79",,,,,,,,
FATIMA-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,,BA,,"2.448,10",,,,,,,"0,02",,,,,,,,"2.448,12",,,,,,,"28.132,26",,,,,,,,
FIRMINO ALVES-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
FLORESTA AZUL-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
GANDU-BA,,,,,,,,,,BA,,"1.713,67",,,,,,,"0,01",,,,,,,,"1.713,68",,,,,,,"19.692,56",,,,,,,,
GAVIAO-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
GLORIA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
