ICHU-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
IPIRA-BA,,,,,BA,,,,"32,65",,,,,,-,,,,,,"32,65",,,,,,,"213,08",,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
IRARA-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"32,65",,,,,,-,,,,,,"32,65",,,,,,,"213,08",,,,,,,,,
ITAGI-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,"17.739,32",,,,,,"2.547,60",,,,,,"20.286,92",,,,,,,"133.971,76",,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,"605,53",,,,,,"928,15",,,,,,"1.533,68",,,,,,,"485.814,37",,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
ITATIM-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
ITIUBA-BA,,,,,BA,,,,"28,69",,,,,,-,,,,,,"28,69",,,,,,,"187,42",,,,,,,,,
JACOBINA-BA,,,,,BA,,,,"35,62",,,,,,-,,,,,,"35,62",,,,,,,"232,38",,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,"30,67",,,,,,-,,,,,,"30,67",,,,,,,"200,44",,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
JEQUIE-BA,,,,,BA,,,,"39,58",,,,,,-,,,,,,"39,58",,,,,,,"258,02",,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,"28,69",,,,,,-,,,,,,"28,69",,,,,,,"187,42",,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
JITAUNA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
LAJE-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
LAMARAO-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,"36,61",,,,,,-,,,,,,"36,61",,,,,,,"238,73",,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
MACARANI-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,"114.431,06",,,,,,"183.344,81",,,,,,"297.775,87",,,,,,,"1.632.508,05",,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,50",,,,,,,,,
MAIRI-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
MARACAS-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,"28,69",,,,,,-,,,,,,"28,69",,,,,,,"187,42",,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
