MARAGOGIPE-BA,,,,BA,,,,"41,36",,,,,,-,,,,,,"41,36",,,,,,,"250,15",,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
MATA DE SÃO JOAO-BA,,,,BA,,,,"87.630,69",,,,,,"38.851,69",,,,,,"126.482,38",,,,,,,"710.044,71",,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,"41,36",,,,,,-,,,,,,"41,36",,,,,,,"250,15",,,,,,,,,,
MILAGRES-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
MIRANTE-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
MURITIBA-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
MUTUIPE-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
NAZARE-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
NORDESTINA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
OLINDINA-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
OURICANGAS-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,,"51,34",,,,,,-,,,,,,"51,34",,,,,,,"310,55",,,,,,,,,,
PE DE SERRA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
PEDRAO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
PINTADAS-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
PIRITIBA-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
PLANALTINO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
PLANALTO-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
POCOES-BA,,,,BA,,,,"42,79",,,,,,-,,,,,,"42,79",,,,,,,"258,79",,,,,,,,,,
POJUCA-BA,,,,BA,,,,"248.447,38",,,,,,"162.977,23",,,,,,"411.424,61",,,,,,,"2.540.397,09",,,,,,,,,,
QUEIMADAS-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
QUIJINGUE-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
QUIXABEIRA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
RAFAEL JAMBEIRO-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
RETIROLANDIA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
RIACHAO DO JACUIPE-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
RIBEIRA DO AMPARO-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
RIBEIRA DO POMBAL-BA,,,,BA,,,,"44,21",,,,,,-,,,,,,"44,21",,,,,,,"267,41",,,,,,,,,,
RIBEIRAO DO LARGO-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
RIOREAL-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
