LAJEDO DO TABOCAL-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
LAMARAO-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,,"57,78",,,,,,,-,,,,,"57,78",,,,,,"375,67",,,,,,,,,,,,
MACAJUBA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
MACARANI-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,,"158.135,92",,,,,,,"270.873,53",,,,,"429.009,43",,,,,,"2.585.287,22",,,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
MAIRI-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
MARACAS-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,,"45,29",,,,,,,-,,,,,"45,28",,,,,,"294,43",,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
MATA DE SÃO JOAO-BA,,,,BA,,,,,"64.915,77",,,,,,,"25.988,35",,,,,"90.904,10",,,,,,"653.925,40",,,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,,"45,29",,,,,,,-,,,,,"45,28",,,,,,"294,43",,,,,,,,,,,,
MILAGRES-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
MIRANTE-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
MURITIBA-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
MUTUIPE-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
NAZARE-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
NORDESTINA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
OLINDINA-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
OURICANGAS-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,,,"56,22",,,,,,,-,,,,,"56,22",,,,,,"365,52",,,,,,,,,,,,
PE DE SERRA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
PEDRAO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
PINTADAS-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
PIRITIBA-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
PLANALTINO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
PLANALTO-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
POCOES-BA,,,,BA,,,,,"46,85",,,,,,,-,,,,,"46,85",,,,,,"304,61",,,,,,,,,,,,
POJUCA-BA,,,,BA,,,,,"216.422,02",,,,,,,"137.372,11",,,,,"353.794,12",,,,,,"2.595.786,06",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEIMADAS-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
QUIJINGUE-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
QUIXABEIRA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
RAFAEL JAMBEIRO-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
