CICERO DANTAS-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
CIPO-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"36,25",,,,,,,,-,,,,,,"36,25",,,,,,,,,,"119,56",,,,,,,,,,,,
CONDE-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"33,57",,,,,,,,-,,,,,,"33,57",,,,,,,,,,"110,71",,,,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"32,22",,,,,,,,-,,,,,,"32,22",,,,,,,,,,"106,27",,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
