IPECAETA-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
IPIRA-BA,,,,,,BA,,,"110,69",,,,,,,-,,,,,,,"110,69",,,,,"221,82",,,,,,,,,
IRAJUBA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
IRARA-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
ITABERABA-BA,,,,,,BA,,,"110,69",,,,,,,-,,,,,,,"110,69",,,,,"221,82",,,,,,,,,
ITAGI-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
ITAMBE-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
ITANAGRA-BA,,,,,,BA,,,"76.646,81",,,,,,,"9.655,49",,,,,,,"86.302,30",,,,,"180.635,56",,,,,,,,,
ITAPARICA-BA,,,,,,BA,,,"2.320,66",,,,,,,"124.390,97",,,,,,,"126.711,63",,,,,"243.647,12",,,,,,,,,
ITAPETINGA-BA,,,,,,BA,,,"110,69",,,,,,,-,,,,,,,"110,69",,,,,"221,82",,,,,,,,,
ITAPICURU-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
ITAQUARA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ITARANTIM-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
ITATIM-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
ITIRUCU-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
ITIUBA-BA,,,,,,BA,,,"97,27",,,,,,,-,,,,,,,"97,27",,,,,"194,93",,,,,,,,,
JACOBINA-BA,,,,,,BA,,,"117,40",,,,,,,-,,,,,,,"117,40",,,,,"235,27",,,,,,,,,
JAGUAQUARA-BA,,,,,,BA,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,"208,37",,,,,,,,,
