ELISIO MEDRADO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"56,65",,,,,,,,-,,,,,,"56,65",,,,,,,,"502,05",,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"93.788,62",,,,,,,,"46.121,43",,,,,,"139.910,05",,,,,,,,"2.645.924,03",,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"177.469,46",,,,,,,,"100.099,35",,,,,,"277.568,81",,,,,,,,"3.451.631,13",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"62,50",,,,,,,,-,,,,,,"62,50",,,,,,,,"568,5",,,,,,,,
FATIMA-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"431,08",,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,,"78,14",,,,,,,,-,,,,,,"78,14",,,,,,,,"710,61",,,,,,,,
GAVIAO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
GLORIA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"395,46",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"426,42",,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
IACU-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"484,4",,,,,,,,
IBIQUERA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ICHU-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
INHAMBUPE-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"484,4",,,,,,,,
IPECAETA-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"431,08",,,,,,,,
IPIRA-BA,,,,BA,,,,,"64,46",,,,,,,,-,,,,,,"64,46",,,,,,,,"586,34",,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
IRARA-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
ITABERABA-BA,,,,BA,,,,,"64,46",,,,,,,,-,,,,,,"64,46",,,,,,,,"586,34",,,,,,,,
ITAGI-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
ITAMBE-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
ITANAGRA-BA,,,,BA,,,,,"33.182,56",,,,,,,,"6.975,79",,,,,,"40.158,35",,,,,,,,"449.659,93",,,,,,,,
ITAPARICA-BA,,,,BA,,,,,"1.352,54",,,,,,,,"1.751,68",,,,,,"3.104,22",,,,,,,,"28.543,78",,,,,,,,
ITAPETINGA-BA,,,,BA,,,,,"64,46",,,,,,,,-,,,,,,"64,46",,,,,,,,"573,2",,,,,,,,
ITAPICURU-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
ITAQUARA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ITARANTIM-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITATIM-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"377,78",,,,,,,,
ITIRUCU-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
ITIUBA-BA,,,,BA,,,,,"56,65",,,,,,,,-,,,,,,"56,65",,,,,,,,"515,2",,,,,,,,
JACOBINA-BA,,,,BA,,,,,"68,36",,,,,,,,-,,,,,,"68,36",,,,,,,,"634,94",,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"550,68",,,,,,,,
JAGUARIPE-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
JANDAIRA-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"359,93",,,,,,,,
JEQUIE-BA,,,,BA,,,,,"78,14",,,,,,,,-,,,,,,"78,14",,,,,,,,"710,61",,,,,,,,
JEREMOABO-BA,,,,BA,,,,,"56,65",,,,,,,,-,,,,,,"56,65",,,,,,,,"515,2",,,,,,,,
JIQUIRICA-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
JITAUNA-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"435,76",,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
LAJE-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"444,08",,,,,,,,
LAJEDINHO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
LAMARAO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"368,45",,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,,"74,22",,,,,,,,-,,,,,,"74,22",,,,,,,,"661,94",,,,,,,,
MACAJUBA-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
MACARANI-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"421,75",,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,,"159.996,65",,,,,,,,"354.763,53",,,,,,"514.760,18",,,,,,,,"5.943.256,88",,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
MAIRI-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"448,76",,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"413,28",,,,,,,,
MARACAS-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"524,55",,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"386,1",,,,,,,,
MATA DE SAO JOAO-BA,,,,BA,,,,,"84.089,65",,,,,,,,"36.721,94",,,,,,"120.811,59",,,,,,,,"1.473.013,74",,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"510,53",,,,,,,,
MILAGRES-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
MIRANTE-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"377,78",,,,,,,,
MONTE SANTO-BA,,,,BA,,,,,"62,50",,,,,,,,-,,,,,,"62,50",,,,,,,,"568,5",,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"461,89",,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
MURITIBA-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"484,4",,,,,,,,
MUTUIPE-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"448,76",,,,,,,,
NAZARE-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
NORDESTINA-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
NOVA CANAA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"395,46",,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
NOVA SOURE-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"466,57",,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
OLINDINA-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"461,89",,,,,,,,
OURICANGAS-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
OUROLANDIA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"479,73",,,,,,,,
PAULO AFONSO-BA,,,,BA,,,,,"72,27",,,,,,,,-,,,,,,"72,27",,,,,,,,"644,3",,,,,,,,
PE DE SERRA-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"390,77",,,,,,,,
PEDRAO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"413,28",,,,,,,,
PINTADAS-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
PIRITIBA-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"444,08",,,,,,,,
PLANALTINO-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
PLANALTO-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"461,89",,,,,,,,
POCOES-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"537,71",,,,,,,,
POJUCA-BA,,,,BA,,,,,"280.785,11",,,,,,,,"185.098,25",,,,,,"465.883,36",,,,,,,,"5.490.152,95",,,,,,,,
QUEIMADAS-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"466,57",,,,,,,,
QUIJINGUE-BA,,,,BA,,,,,"52,74",,,,,,,,-,,,,,,"52,74",,,,,,,,"466,57",,,,,,,,
