OURICANGAS,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
OUROLANDIA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
PARIPIRANGA,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
PAULO AFONSO,,,BA,,,,,"126,51",,,,,,,-,,,,,,,"126,51",,,,,"244,85",,,,,,,,,
PE DE SERRA,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
PEDRAO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
PEDRO ALEXANDRE,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
PINTADAS,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
PIRITIBA,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
PLANALTINO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
PLANALTO,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
POCOES,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
POJUCA,,,BA,,,,,"452.688,64",,,,,,,"404.160,76",,,,,,,"856.849,40",,,,,"1.579.718,57",,,,,,,,,
QUEIMADAS,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
QUIJINGUE,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
QUIXABEIRA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
RAFAEL JAMBEIRO,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
RETIROLANDIA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
RIACHAO DO JACUIPE,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
