MACAJUBA-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
MACARANI-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,,"67.129,20",,,,,,,,,"53.472,83",,,,,,"120.602,03",,,,,,,,"547.400,98",,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
MAIRI-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
MARACAS-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,,"30,99",,,,,,,,,-,,,,,,"30,99",,,,,,,,"71,56",,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
MATA DE SAO JOAO-BA,,,,BA,,,,,"30.403,52",,,,,,,,,"12.239,20",,,,,,"42.642,72",,,,,,,,"188.280,04",,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,,"30,99",,,,,,,,,-,,,,,,"30,99",,,,,,,,"71,56",,,,,,,,,,,
MILAGRES-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
MIRANTE-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
MURITIBA-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
MUTUIPE-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
NAZARE-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
NORDESTINA-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
OLINDINA-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
OURICANGAS-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,,,"38,47",,,,,,,,,-,,,,,,"38,47",,,,,,,,"88,86",,,,,,,,,,,
PE DE SERRA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
PEDRAO-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
PINTADAS-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
PIRITIBA-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
