IBICARAI-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"2.911,98",,,,,,,,,,
IBICUI-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.391,98",,,,,,,,,,
IBIQUERA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
IBIRAPITANGA-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.703,99",,,,,,,,,,
IBIRAPUA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
IBIRATAIA-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
ICHU-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
IGRAPIUNA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.391,98",,,,,,,,,,
IGUAI-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
ILHEUS-BA,,,,BA,,,,,"1.194,11",,,,,,,-,,,,,,,,"1.194,11",,,,,,,"4.159,99",,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,,"2.454,24",,,,,,,"825,36",,,,,,,,"3.279,60",,,,,,,"15.642,43",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPECAETA-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.738,33",,,,,,,,,,
IPIAU-BA,,,,BA,,,,,"925,43",,,,,,,-,,,,,,,,"925,43",,,,,,,"3.223,98",,,,,,,,,,
IPIRA-BA,,,,BA,,,,,"985,14",,,,,,,-,,,,,,,,"985,14",,,,,,,"3.614,60",,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
IRARA-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.957,38",,,,,,,,,,
ITABELA-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.807,98",,,,,,,,,,
ITABERABA-BA,,,,BA,,,,,"985,14",,,,,,,-,,,,,,,,"985,14",,,,,,,"3.614,60",,,,,,,,,,
ITABUNA-BA,,,,BA,,,,,"1.194,11",,,,,,,-,,,,,,,,"1.194,11",,,,,,,"4.159,99",,,,,,,,,,
ITACARE-BA,,,,BA,,,,,"746,32",,,,,,,-,,,,,,,,"746,32",,,,,,,"2.599,99",,,,,,,,,,
ITAGI-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
ITAGIBA-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.495,97",,,,,,,,,,
ITAGIMIRIM-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
ITAJU DO COLONIA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
