IBIQUERA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ICHU-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
IPECAETA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
IPIRA-BA,,,,BA,,,,,"50,84",,,,,,,,-,,,,,,"50,84",,,,,,"335,51",,,,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
IRARA-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
ITABERABA-BA,,,,BA,,,,,"50,84",,,,,,,,-,,,,,,"50,84",,,,,,"335,51",,,,,,,,,,,,,
ITAGI-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
ITAMBE-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,,,"34.538,91",,,,,,,,"6.544,35",,,,,,"41.083,26",,,,,,"241.664,36",,,,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,,,"1.033,92",,,,,,,,"1.435,64",,,,,,"2.469,56",,,,,,"16.296,50",,,,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,,,"41,60",,,,,,,,-,,,,,,"41,60",,,,,,"274,51",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
ITATIM-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
ITIUBA-BA,,,,BA,,,,,"44,68",,,,,,,,-,,,,,,"44,68",,,,,,"294,83",,,,,,,,,,,,,
JACOBINA-BA,,,,BA,,,,,"55,46",,,,,,,,-,,,,,,"55,46",,,,,,"366,01",,,,,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,,"47,76",,,,,,,,-,,,,,,"47,76",,,,,,"315,17",,,,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
JEQUIE-BA,,,,BA,,,,,"61,63",,,,,,,,-,,,,,,"61,63",,,,,,"406,68",,,,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,,,"44,68",,,,,,,,-,,,,,,"44,68",,,,,,"294,83",,,,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
JITAUNA-BA,,,,BA,,,,,"36,98",,,,,,,,-,,,,,,"36,98",,,,,,"243,99",,,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
LAJE-BA,,,,BA,,,,,"38,52",,,,,,,,-,,,,,,"38,52",,,,,,"254,18",,,,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
LAMARAO-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,,"57,01",,,,,,,,-,,,,,,"57,01",,,,,,"376,17",,,,,,,,,,,,,
MACAJUBA-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
