JIQUIRICA,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
JITAUNA,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
LAFAIETE COUTINHO,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
LAJE,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
LAJEDINHO,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
LAJEDO DO TABOCAL,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
LAMARAO,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
LAURO DE FREITAS,,,,BA,,,,,,"123,33",,,,,,,,-,,,,,,,"123,33",,,,,,,,,"661,06",,,,,,,,
MACAJUBA,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
MACARANI,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
MADRE DE DEUS,,,,BA,,,,,,"940.582,61",,,,,,,,"505.396,58",,,,,,,"1.445.979,19",,,,,,,,,"6.177.542,42",,,,,,,,
MAIQUINIQUE,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
MAIRI,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
MANOEL VITORINO,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"417,51",,,,,,,,
MARACAS,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
MARAGOGIPE,,,,BA,,,,,,"100,61",,,,,,,,-,,,,,,,"100,61",,,,,,,,,"539,30",,,,,,,,
MARCIONILIO SOUZA,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
MATA DE SAO JOAO,,,,BA,,,,,,"139.303,76",,,,,,,,"56.314,16",,,,,,,"195.617,92",,,,,,,,,"958.174,67",,,,,,,,
MIGUEL CALMON,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
MILAGRES,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
MIRANTE,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
MONTE SANTO,,,,BA,,,,,,"103,86",,,,,,,,-,,,,,,,"103,86",,,,,,,,,"556,69",,,,,,,,
MUNDO NOVO,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
MUNIZ FERREIRA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
MURITIBA,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
MUTUIPE,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
NAZARE,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
NORDESTINA,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
NOVA CANAA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
