ITAMBE-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
ITANAGRA-BA,,,BA,,,,"65.819,12",,,,,,"12.507,26",,,,,"78.326,38",,,,,,"495.236,98",,,,,,,,,,,
ITAPARICA-BA,,,BA,,,,"1.711,40",,,,,,"77.173,49",,,,,"78.884,89",,,,,,"324.239,48",,,,,,,,,,,
ITAPETINGA-BA,,,BA,,,,"81,56",,,,,,-,,,,,"81,56",,,,,,"703,83",,,,,,,,,,,
ITAPICURU-BA,,,BA,,,,"66,73",,,,,,-,,,,,"66,73",,,,,,"575,05",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAQUARA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ITARANTIM-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
ITATIM-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
ITIRUCU-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
ITIUBA-BA,,,BA,,,,"71,68",,,,,,-,,,,,"71,68",,,,,,"617,62",,,,,,,,,,,
JACOBINA-BA,,,BA,,,,"86,51",,,,,,-,,,,,"86,51",,,,,,"745,27",,,,,,,,,,,
JAGUAQUARA-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
JAGUARIPE-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
JANDAIRA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
JEQUIE-BA,,,BA,,,,"98,86",,,,,,-,,,,,"98,86",,,,,,"852,33",,,,,,,,,,,
JEREMOABO-BA,,,BA,,,,"71,68",,,,,,-,,,,,"71,68",,,,,,"617,62",,,,,,,,,,,
JIQUIRICA-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
JITAUNA-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
LAJE-BA,,,BA,,,,"61,79",,,,,,-,,,,,"61,79",,,,,,"532,54",,,,,,,,,,,
LAJEDINHO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
LAMARAO-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,,"93,92",,,,,,-,,,,,"93,92",,,,,,"809,77",,,,,,,,,,,
MACAJUBA-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
MACARANI-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
MADRE DE DEUS-BA,,,BA,,,,"879.661,48",,,,,,"352.564,65",,,,,"1.232.226,13",,,,,,"7.054.162,08",,,,,,,,,,,
MAIQUINIQUE-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
MAIRI-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
MANOEL VITORINO-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,69",,,,,,,,,,,
MARACAS-BA,,,BA,,,,"69,20",,,,,,-,,,,,"69,20",,,,,,"596,78",,,,,,,,,,,
