BOA NOVA-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
BREJOES-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
CAATIBA-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
CAEM-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
CAETANOS-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
CAIRU-BA,,,,,,,,BA,,"41.014,21",,,,,,,,"424.689,19",,,,,,"465.703,40",,,,,,,"4.327.656,74",,,,,,,,
CAMACAN-BA,,,,,,,,BA,,"1.528,39",,,,,,,,-,,,,,,"1.528,39",,,,,,,"14.043,82",,,,,,,,
CAMACARI-BA,,,,,,,,BA,,"2.581,25",,,,,,,,"167,09",,,,,,"2.748,34",,,,,,,"30.523,08",,,,,,,,
CAMAMU-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
CANDEAL-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,"136.823,49",,,,,,,,"207.645,35",,,,,,"344.468,84",,,,,,,"3.841.299,64",,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,"1.582,97",,,,,,,,-,,,,,,"1.582,97",,,,,,,"14.545,38",,,,,,,,
CANUDOS-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.054,97",,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,"53.503,45",,,,,,,,"32.259,98",,,,,,"85.763,43",,,,,,,"1.443.768,00",,,,,,,,
CASTRO ALVES-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
CATU-BA,,,,,,,,BA,,"88.937,68",,,,,,,,"59.566,25",,,,,,"148.503,93",,,,,,,"2.327.619,44",,,,,,,,
CICERO DANTAS-BA,,,,,,,,BA,,"1.528,39",,,,,,,,-,,,,,,"1.528,39",,,,,,,"14.043,82",,,,,,,,
CIPO-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
COARACI-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,BA,,"1.801,32",,,,,,,,-,,,,,,"1.801,32",,,,,,,"16.551,66",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
CONDE-BA,,,,,,,,BA,,"2.447,95",,,,,,,,"663,53",,,,,,"3.111,48",,,,,,,"32.651,83",,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
CRAVOLANDIA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
CRISOPOLIS-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,BA,,"1.746,73",,,,,,,,-,,,,,,"1.746,73",,,,,,,"16.050,09",,,,,,,,
DARIO MEIRA-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
DIAS D'AVILA-BA,,,,,,,,BA,,"1.746,73",,,,,,,,-,,,,,,"1.746,73",,,,,,,"16.050,09",,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
ENCRUZILHADA-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
ENTRE RIOS-BA,,,,,,,,BA,,"142.499,39",,,,,,,,"133.314,76",,,,,,"275.814,15",,,,,,,"3.284.358,95",,,,,,,,
ESPLANADA-BA,,,,,,,,BA,,"983.982,39",,,,,,,,"293.591,34",,,,,,"1.277.573,73",,,,,,,"13.250.371,69",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,BA,,"1.801,32",,,,,,,,-,,,,,,"1.801,32",,,,,,,"16.551,66",,,,,,,,
EUNAPOLIS-BA,,,,,,,,BA,,"1.965,07",,,,,,,,-,,,,,,"1.965,07",,,,,,,"18.056,36",,,,,,,,
FATIMA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,BA,,"2.183,41",,,,,,,,-,,,,,,"2.183,41",,,,,,,"20.062,62",,,,,,,,
FIRMINO ALVES-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
FLORESTA AZUL-BA,,,,,,,,BA,,"1.146,29",,,,,,,,-,,,,,,"1.146,29",,,,,,,"10.532,85",,,,,,,,
GANDU-BA,,,,,,,,BA,,"1.528,39",,,,,,,,-,,,,,,"1.528,39",,,,,,,"14.043,82",,,,,,,,
GAVIAO-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
GLORIA-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
GONGOGI-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,BA,,"1.364,63",,,,,,,,-,,,,,,"1.364,63",,,,,,,"12.539,11",,,,,,,,
GUARATINGA-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELIOPOLIS-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
IACU-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
IBICARAI-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
IBICUI-BA,,,,,,,,BA,,"1.255,46",,,,,,,,-,,,,,,"1.255,46",,,,,,,"11.535,99",,,,,,,,
IBIQUERA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
IBIRAPITANGA-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
IBIRAPUA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
IBIRATAIA-BA,,,,,,,,BA,,"1.419,22",,,,,,,,-,,,,,,"1.419,22",,,,,,,"13.040,68",,,,,,,,
ICHU-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
IGRAPIUNA-BA,,,,,,,,BA,,"1.200,88",,,,,,,,-,,,,,,"1.200,88",,,,,,,"11.034,42",,,,,,,,
IGUAI-BA,,,,,,,,BA,,"1.473,80",,,,,,,,-,,,,,,"1.473,80",,,,,,,"13.542,25",,,,,,,,
ILHEUS-BA,,,,,,,,BA,,"2.183,41",,,,,,,,-,,,,,,"2.183,41",,,,,,,"20.062,62",,,,,,,,
INHAMBUPE-BA,,,,,,,,BA,,"2.667,21",,,,,,,,"552,96",,,,,,"3.220,17",,,,,,,"28.466,07",,,,,,,,
IPECAETA-BA,,,,,,,,BA,,"1.310,05",,,,,,,,-,,,,,,"1.310,05",,,,,,,"12.037,56",,,,,,,,
IPIAU-BA,,,,,,,,BA,,"1.692,15",,,,,,,,-,,,,,,"1.692,15",,,,,,,"15.548,55",,,,,,,,
IPIRA-BA,,,,,,,,BA,,"1.801,32",,,,,,,,-,,,,,,"1.801,32",,,,,,,"16.551,66",,,,,,,,
IRAJUBA-BA,,,,,,,,BA,,"1.091,70",,,,,,,,-,,,,,,"1.091,70",,,,,,,"10.031,26",,,,,,,,
