NORDESTINA,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA CANAA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
NOVA FATIMA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
NOVA ITARANA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
NOVA SOURE,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
NOVO TRIUNFO,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
OLINDINA,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
OURICANGAS,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
OUROLANDIA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
PARIPIRANGA,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
PAULO AFONSO,,,BA,,,,"133,16",,,,,,,-,,,,,,,,"133,16",,,,,,,,"526,96",,,,,,,,
PE DE SERRA,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
PEDRAO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
PEDRO ALEXANDRE,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
PINTADAS,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
PIRITIBA,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
PLANALTINO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
